,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind speed
0,saldanha,ZA,-33.01,17.94,59.0,62,0,17.22
1,luderitz,NA,-26.65,15.16,62.15,51,100,29.68
2,yellowknife,CA,62.46,-114.35,19.4,85,75,11.41
3,qaanaaq,GL,77.48,-69.36,14.9,83,99,5.95
4,vaini,TO,-21.2,-175.2,71.6,68,75,8.05
5,nioro,GM,13.35,-15.75,85.51,30,75,3.2
6,jamestown,US,42.1,-79.24,37.99,93,90,5.82
7,dikson,RU,73.51,80.55,12.69,95,100,28.77
8,lorengau,PG,-2.02,147.27,80.64,75,100,3.33
9,ushuaia,AR,-54.8,-68.3,50.0,71,75,24.16
10,ust-tsilma,RU,65.44,52.15,42.26,88,100,6.4
11,atuona,PF,-9.8,-139.03,77.41,73,100,12.73
12,punta arenas,CL,-53.15,-70.92,55.4,62,75,33.33
13,rikitea,PF,-23.12,-134.97,75.63,69,0,8.19
14,meulaboh,ID,4.14,96.13,76.78,86,100,4.05
15,bluff,NZ,-46.6,168.33,55.0,97,100,3.0
16,puerto ayora,EC,-0.74,-90.35,82.4,61,20,8.05
17,never,FR,46.99,3.16,50.0,93,0,1.88
18,saint-philippe,RE,-21.36,55.77,66.99,72,75,8.05
19,nanortalik,GL,60.14,-45.24,28.27,92,98,5.93
20,port-cartier,CA,50.03,-66.87,37.0,47,100,8.05
21,quatre cocos,MU,-20.21,57.76,69.8,52,40,13.87
22,santo andre,BR,-23.66,-46.54,64.4,82,90,17.22
23,warrington,GB,53.39,-2.58,50.0,87,75,1.12
24,karasjok,NO,69.47,25.51,33.8,64,75,17.22
25,san patricio,US,28.02,-97.52,69.01,45,20,11.41
26,cape town,ZA,-33.93,18.42,60.01,62,0,23.04
27,asau,RO,46.43,26.4,44.01,97,100,0.69
28,harper,LR,4.38,-7.72,78.4,88,100,7.94
29,provideniya,RU,64.38,-173.3,23.92,93,98,6.58
30,hasaki,JP,35.73,140.83,42.8,87,0,4.7
31,puerto escondido,MX,15.85,-97.07,82.4,69,75,8.05
32,tuktoyaktuk,CA,69.45,-133.04,6.8,84,75,6.93
33,zhigansk,RU,66.77,123.37,-15.36,89,39,1.39
34,kodiak,US,57.79,-152.41,33.8,74,90,5.82
35,soyo,AO,-6.13,12.37,77.65,84,11,8.66
36,ribeira grande,PT,38.52,-28.7,69.8,94,75,17.22
37,hermanus,ZA,-34.42,19.23,54.0,77,0,11.54
38,basco,PH,20.45,121.97,77.56,77,93,32.66
39,tiksi,RU,71.69,128.87,9.84,95,100,5.64
40,castro,BR,-24.79,-50.01,55.53,93,100,10.02
41,ponta delgada,PT,37.73,-25.67,69.8,88,75,17.22
42,banjar,ID,-8.19,114.97,78.57,78,33,3.76
43,pevek,RU,69.7,170.31,22.86,94,84,6.46
44,saskylakh,RU,71.92,114.08,-1.91,85,0,6.15
45,mataura,NZ,-46.19,168.86,55.0,97,100,3.0
46,georgetown,MY,5.41,100.34,80.6,88,20,3.85
47,nemuro,JP,43.32,145.57,48.56,73,52,21.3
48,cabo san lucas,MX,22.89,-109.91,84.2,57,40,3.36
49,gondanglegi,ID,-7.75,112.01,75.87,83,98,6.53
50,shitanjing,CN,39.23,106.34,37.56,66,0,23.47
51,airai,TL,-8.93,125.41,60.04,94,0,1.61
52,iquique,CL,-20.22,-70.14,66.2,63,0,17.22
53,campo largo,BR,-25.46,-49.53,55.4,87,90,10.29
54,biak,ID,-0.91,122.88,77.97,75,86,2.46
55,almaznyy,RU,48.04,40.05,59.0,82,20,3.53
56,vanimo,PG,-2.67,141.3,77.77,78,100,5.19
57,ipora,BR,-16.44,-51.12,84.51,55,97,5.17
58,ilulissat,GL,69.22,-51.1,19.4,67,75,2.24
